City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Anadyr,RU,52.3,few clouds,64.75,177.4833,Отке17.ру — жильё для командированных
1,Nuuk,GL,50.61,broken clouds,64.1835,-51.7216,Vandrehuset
3,Busselton,AU,50.29,clear sky,-33.65,115.3333,Observatory Guest House
4,Mataura,NZ,44.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
5,Tamazunchale,MX,88.77,overcast clouds,21.2667,-98.7833,Hotel Paraiso Huasteco
6,Otacilio Costa,BR,50.07,overcast clouds,-27.4831,-50.1219,Hotel Daieli
7,Butaritari,KI,82.31,light rain,3.0707,172.7902,Isles Sunset Lodge
8,Eyl,SO,77.2,overcast clouds,7.9803,49.8164,Amiin Hotel
9,Lobito,AO,69.1,broken clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
10,La Rioja,ES,82.18,clear sky,42.25,-2.5,Casa Concejos
11,Arraial Do Cabo,BR,69.66,few clouds,-22.9661,-42.0278,Pousada Porto Praia
12,Sampit,ID,72.36,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
14,Guerrero Negro,MX,82.74,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
15,Kemijarvi,FI,50.07,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
16,Ca Mau,VN,77.61,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
17,Jamestown,US,74.95,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
19,Ushuaia,AR,33.46,light rain,-54.8,-68.3,Albatross Hotel
20,Winnemucca,US,84.25,few clouds,40.973,-117.7357,Winners Inn Casino
21,Thompson,CA,84.42,scattered clouds,55.7435,-97.8558,Burntwood Hotel
22,Banda Aceh,ID,78.78,few clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
23,Punta Arenas,CL,41.11,moderate rain,-53.15,-70.9167,Hotel Hain
24,Broome,US,77.41,scattered clouds,42.2506,-75.833,Chenango Valley State Park
26,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
27,Xiongzhou,CN,78.13,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
29,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Moerai,PF,73.24,light rain,-22.4333,-151.3333,Le Manotel
31,Bredasdorp,ZA,54.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
32,Port Alfred,ZA,64.9,overcast clouds,-33.5906,26.891,The Halyards Hotel
33,Porto Santo,PT,70.18,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
34,Nizwa,OM,83.68,overcast clouds,22.9333,57.5333,Orient Apartments
35,Rikitea,PF,74.71,few clouds,-23.1203,-134.9692,People ThankYou
36,Cradock,ZA,53.74,clear sky,-32.1642,25.6192,Die Hoekhuis
37,Nsanje,MW,64.83,clear sky,-16.92,35.262,Nsanje Discovery Lodge
38,Namatanai,PG,81.88,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
40,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
41,Siddipet,IN,71.92,overcast clouds,18.1,78.85,Roads And Buildings (R&B) Guest House
42,Waipawa,NZ,54.63,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
43,Santa Fe,AR,60.01,light rain,-31.6333,-60.7,Conquistador Hotel
44,Constitucion,CL,50.68,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
45,Tomatlan,MX,87.13,overcast clouds,19.9333,-105.25,El Salvial
46,Sirjan,IR,77.49,clear sky,29.452,55.6814,MAPNA Building
47,Changji,CN,75.99,thunderstorm,44.0167,87.3167,Lvye Holiday Resort
48,Hobart,AU,43.27,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
49,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
50,Ribeira Grande,PT,73.02,few clouds,38.5167,-28.7,Quinta da Meia Eira
52,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
53,Key West,US,93.2,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
54,Bambous Virieux,MU,68.22,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
55,Lebu,CL,45.73,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
56,Paamiut,GL,45.03,overcast clouds,61.994,-49.6678,Pistut
57,Geraldton,AU,55.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
59,Mira,IT,80.01,clear sky,45.4358,12.1348,Villa Gasparini
60,Naze,JP,80.73,overcast clouds,28.3667,129.4833,Shishime Hotel
62,Sao Filipe,CV,75.97,few clouds,14.8961,-24.4956,Hotel Xaguate
63,Port Hawkesbury,CA,82.9,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
64,Fort Nelson,CA,72.99,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
65,Norman Wells,CA,75.24,broken clouds,65.282,-126.8329,Heritage Hotel
67,Nikolskoye,RU,56.8,scattered clouds,59.7035,30.7861,Tourist House - Sablino
68,Atuona,PF,77.88,broken clouds,-9.8,-139.0333,Villa Enata
69,Bluff,NZ,44.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
70,Norsup,VU,81.27,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
71,Chuy,UY,48.24,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
72,Leh,IN,65.53,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
73,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
74,Taungdwingyi,MM,77.92,overcast clouds,20.0167,95.55,NayNaing MobileService
75,Ipora,BR,74.03,clear sky,-16.4419,-51.1178,Oásis Motel
76,Ancud,CL,42.22,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
77,Bealanana,MG,52.61,scattered clouds,-14.55,48.7333,Le Delta
78,Qaanaaq,GL,45.82,clear sky,77.484,-69.3632,Qaanaaq Hotel
80,Yellowknife,CA,72.12,broken clouds,62.456,-114.3525,The Explorer Hotel
81,Ballina,AU,53.02,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
82,Vestby,NO,60.89,scattered clouds,59.6024,10.7467,Vestby Gjestegaard & Hyttepark
83,Mabaruma,GY,78.15,broken clouds,8.2,-59.7833,Monty Brooms Guest House
86,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
87,Khuzdar,PK,76.3,few clouds,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
88,Mindelo,CV,76.55,broken clouds,16.8901,-24.9804,Hotel Gaudi
89,Pemangkat,ID,77.43,overcast clouds,1.1667,108.9667,Ramah Kost KITA
90,Fare,PF,75.65,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
91,Kodiak,US,58.51,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
92,Sechura,PE,71.98,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
95,Castro,BR,57.31,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
96,Marystown,CA,64.85,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
97,Nainpur,IN,73.78,overcast clouds,22.4333,80.1167,Railway Rest House
98,Sao Gabriel,BR,50.95,clear sky,-30.3364,-54.32,Hotel Obino São Gabriel
99,Hilo,US,89.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
101,Tucurui,BR,80.6,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
102,Mar Del Plata,AR,48.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
103,Tuktoyaktuk,CA,55.71,light rain,69.4541,-133.0374,End of The Road Ltd.
104,Fairbanks,US,61.14,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
105,Bethel,US,77.04,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
106,Zhuhai,CN,85.86,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
107,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
108,Ranong,TH,78.94,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
109,Lorengau,PG,81.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
110,Olafsvik,IS,53.38,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
111,Hithadhoo,MV,81.37,overcast clouds,-0.6,73.0833,Scoop Guest House
112,Pachino,IT,80.78,clear sky,36.7186,15.0907,Il Veliero
113,Coihaique,CL,40.95,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
114,Mount Pleasant,US,86.14,scattered clouds,32.7941,-79.8626,Best Western Patriots Point
115,Songjianghe,CN,61.74,few clouds,42.1859,127.479,Sijisheng Fashion Guest House
116,Deputatskiy,RU,41.94,light rain,69.3,139.9,Baza Otdykha
117,Kirishi,RU,48.63,broken clouds,59.4471,32.0205,Sputnik
118,Ambilobe,MG,65.19,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
119,Mayumba,GA,69.94,few clouds,-3.432,10.6554,LIKWALE LODGE
120,Cape Town,ZA,56.91,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
121,Te Anau,NZ,42.62,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
122,Tondano,ID,64.49,overcast clouds,1.3038,124.9112,Villa Bella
123,Hamilton,US,84.99,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
124,Udachnyy,RU,50.45,overcast clouds,66.4167,112.4,Severnoye Siyaniye
126,Hemsedal,NO,53.15,broken clouds,60.8629,8.5534,Hemsetunet Apartments
127,Barrow,US,42.82,overcast clouds,71.2906,-156.7887,King Eider Inn
128,Biak,ID,73.65,overcast clouds,-0.9131,122.8766,Penginapan Kim
129,Severo-Kurilsk,RU,55.72,overcast clouds,50.6789,156.125,Kak Doma
130,Yambio,SS,67.82,moderate rain,4.5721,28.3955,Naivasha Hotel
131,Bandarbeyla,SO,75.76,broken clouds,9.4942,50.8122,JABIR HOTEL
133,Lompoc,US,85.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
134,Mokobeng,BW,55.74,clear sky,-22.9965,27.6678,Omphile B. Molefhe
135,Faanui,PF,76.8,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
137,Hermanus,ZA,53.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
138,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
140,Xai-Xai,MZ,65.62,clear sky,-25.0519,33.6442,Complexo da Familia
141,Lengshuitan,CN,77.63,overcast clouds,26.4111,111.5956,Jialong Hotel
142,Reo,BF,79.81,overcast clouds,12.3167,-2.4667,Hôtel Deogratias
143,Ericeira,PT,70.3,clear sky,38.9627,-9.4156,HOTEL PEDRO O PESCADOR
144,Cherskiy,RU,58.77,broken clouds,68.75,161.3,Gostinitsa
145,Lagunas,PE,80.67,broken clouds,-5.2269,-75.6753,Hospedaje Eco
146,Cheremshan,RU,65.62,moderate rain,54.6667,51.5,"Khostel ""U Kamina"""
147,Pithora,IN,74.41,overcast clouds,21.2667,82.5167,"Government Scheduled Caste Boys Hostel, Pithora"
148,Ketchikan,US,59.47,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
149,Vardo,NO,53.58,scattered clouds,70.3705,31.1107,Vardø Hotel AS
150,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
151,Richards Bay,ZA,67.1,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
152,Grand Gaube,MU,67.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
154,Peniche,PT,68.29,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
155,New Norfolk,AU,42.93,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
156,Coquimbo,CL,58.73,clear sky,-29.9533,-71.3436,Hotel San Juan
157,Fecamp,FR,88.68,clear sky,49.7579,0.3746,Hôtel d'Angleterre
159,Cidreira,BR,57.27,clear sky,-30.1811,-50.2056,Hotel Castelo
160,Cabra,ES,83.66,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
161,Pinawa,CA,87.44,few clouds,50.1489,-95.8811,Pinawa Motel
162,Hambantota,LK,78.62,broken clouds,6.1241,81.1185,Bungalow 63
164,Georgetown,MY,82.33,thunderstorm,5.4112,100.3354,Cititel Penang
165,Carnarvon,AU,61.05,clear sky,-24.8667,113.6333,Hospitality Carnarvon
166,Treinta Y Tres,UY,47.82,clear sky,-33.2333,-54.3833,Jardines Apart-Hotel
167,El Porvenir,HN,74.53,light rain,13.7617,-87.3458,Campo de Futbol Las Delicias
168,Rafaela,AR,57.99,few clouds,-31.2503,-61.4867,Parra Hotel & Suites
170,Aklavik,CA,67.8,overcast clouds,68.2191,-135.0107,Aklavik Inn
173,Willowmore,ZA,54.45,few clouds,-33.2926,23.4895,Jumper's Place
174,Jalingo,NG,73.11,scattered clouds,8.8833,11.3667,Debright Motel
175,Baie-Comeau,CA,63.05,scattered clouds,49.2168,-68.1489,Travelodge by Wyndham Baie-Comeau
177,Bainbridge,US,75.63,broken clouds,47.6262,-122.5212,Bainbridge Island Country Inn
178,Leme,BR,73.08,broken clouds,-22.1856,-47.3903,Pousada Piaza
179,Victor Harbor,AU,44.67,overcast clouds,-35.5667,138.6167,McCracken Country Club
181,Huarmey,PE,66.02,broken clouds,-10.0681,-78.1522,Hotel Miramar
182,Lagoa,PT,69.53,overcast clouds,39.05,-27.9833,Casa Das Faias
183,Clyde River,CA,41.23,broken clouds,70.4692,-68.5914,Qamaq Hotel
184,Puerto Escondido,MX,85.37,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
186,Kaitangata,NZ,46.06,light rain,-46.2817,169.8464,Kaitangata Motor Camp
187,Homer,US,62.47,clear sky,59.6425,-151.5483,Beluga Lake Lodge
188,Katsuura,JP,78.82,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
189,Alice Springs,AU,40.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
190,Pevek,RU,33.04,overcast clouds,69.7008,170.3133,Severnoye Zoloto
192,Pontypridd,GB,80.08,scattered clouds,51.6021,-3.3421,Heritage Park Hotel
193,Huimilpan,MX,67.1,moderate rain,20.372,-100.2774,Loving World Spa
194,Olavarria,AR,43.16,scattered clouds,-36.8927,-60.3225,Hotel Santa Rosa
195,Xinzhi,CN,76.03,overcast clouds,36.4989,111.7047,Mingyue Hotel
197,East London,ZA,68.97,clear sky,-33.0153,27.9116,Tu Casa
198,Yulara,AU,48.16,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
199,Muros,ES,67.08,few clouds,42.7762,-9.0603,Apartment Av. Castelao
200,Conakry,GN,76.08,moderate rain,9.538,-13.6773,Riviera Royal Hotel
201,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
202,Guiglo,CI,72.81,broken clouds,6.5456,-7.4966,Hotel GBAOLY 2
203,Leningradskiy,RU,34.45,overcast clouds,69.3833,178.4167,Gostinitsa
204,Newport,GB,82.63,scattered clouds,51.5877,-2.9984,ibis budget Newport
205,Esperance,AU,51.64,scattered clouds,-33.8667,121.9,Hospitality Esperance
207,Khatanga,RU,52.84,overcast clouds,71.9667,102.5,"""Khatanga"""
208,Saldanha,ZA,55.69,clear sky,-33.0117,17.9442,Blue Bay Lodge
209,Kosh-Agach,RU,44.28,overcast clouds,50.0,88.6667,Fermerskiy Dom v Kosh-Agache
210,Corralillo,CU,86.11,clear sky,22.9819,-80.5856,Hostal De Pedri
211,Kirakira,SB,81.79,few clouds,-10.4544,161.9205,SanBiz Lodge
212,New Milford,US,83.98,light rain,40.9327,-74.0179,Courtyard by Marriott Paramus
213,Hirara,JP,85.86,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
214,Port Blair,IN,80.94,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
215,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
216,Sukumo,JP,80.33,overcast clouds,32.9333,132.7333,Sukumojo
217,Impfondo,CG,71.62,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
218,Tasiilaq,GL,44.76,broken clouds,65.6145,-37.6368,The Red House
219,Ponta Do Sol,PT,73.0,few clouds,32.6667,-17.1,Hotel do Campo
220,Ust-Ishim,RU,56.01,broken clouds,57.6935,71.1665,"Velichko T.p., Gostinitsa"
221,Puerto Narino,CO,78.37,few clouds,-3.7703,-70.3831,Eware Refugio Amazonico
222,Tual,ID,79.54,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
223,Kyshtovka,RU,57.36,overcast clouds,56.555,76.6271,Uyutnaya Mini-Hotel
224,New Kensington,US,79.21,overcast clouds,40.5698,-79.7648,SpringHill Suites by Marriott Pittsburgh Mills
225,Mount Gambier,AU,35.51,fog,-37.8333,140.7667,The Commodore
226,Aksu,CN,78.19,few clouds,41.1231,80.2644,Pudong Holiday Hotel
227,Berlevag,NO,60.75,broken clouds,70.8578,29.0864,Kvitbrakka
228,Port Hedland,AU,55.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
229,Tiruchchendur,IN,81.25,overcast clouds,8.4833,78.1167,"Hotel Udhayam International, Thiruchendur"
230,Jiuquan,CN,64.71,clear sky,39.7432,98.5174,Jiuquan Hotel
231,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
232,Ilulissat,GL,50.02,few clouds,69.2167,-51.1,Hotel Arctic
233,Wolsztyn,PL,69.93,overcast clouds,52.1155,16.1171,Holiday Resort Jelonek
234,Paranhos,BR,65.44,scattered clouds,-23.8928,-55.4311,Hotel Saron
235,Sidney,AU,48.7,light rain,-33.8679,151.2073,The Grace Sydney
236,Roura,GF,80.96,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
237,Hovd,MN,54.97,broken clouds,48.0056,91.6419,Hotel Khovd
238,Hami,CN,76.46,overcast clouds,42.8,93.45,Laoyutang Resort
239,Talnakh,RU,56.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
240,Cuencame,MX,91.74,few clouds,24.8711,-103.6964,HOTEL RICOME
241,Culpeper,US,85.6,clear sky,38.5004,-77.9664,Suites at 249
242,Marrakesh,MA,87.87,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
243,Brewster,US,78.55,moderate rain,41.3973,-73.6171,Heidi's Inn
245,Havoysund,NO,53.83,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
246,Zermatt,CH,65.7,clear sky,46.0213,7.7491,Ambassador Zermatt
248,Marsa Matruh,EG,76.98,clear sky,31.3525,27.2453,Beau Site
250,Penzance,GB,70.48,broken clouds,50.1186,-5.5371,Artist Residence Penzance
251,Sakaraha,MG,59.11,clear sky,-22.9,44.5333,Le Relais
252,Along,IN,75.38,overcast clouds,28.1667,94.7667,Hotel West
253,Bengkulu,ID,75.13,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
255,Antalaha,MG,67.1,light rain,-14.9003,50.2788,Hotel Vitasoa
256,Carutapera,BR,77.92,broken clouds,-1.195,-46.02,Lidera
257,Talcahuano,CL,47.88,clear sky,-36.7167,-73.1167,departamento comodo
258,Kruisfontein,ZA,57.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
259,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
260,Tiksi,RU,34.81,overcast clouds,71.6872,128.8694,Arktika
261,Belmonte,BR,72.05,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
262,Powell River,CA,68.02,overcast clouds,49.8496,-124.5361,Rodmay Hotel
263,Phibun Mangsahan,TH,76.98,broken clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
264,Port Elizabeth,ZA,63.32,scattered clouds,-33.918,25.5701,39 On Nile Guest House
265,Torbay,CA,70.57,broken clouds,47.6666,-52.7314,Gallows Cove
266,Waddan,LY,79.83,clear sky,29.1614,16.139,محل الشريف محمد العايب
269,Goderich,CA,73.72,clear sky,43.7501,-81.7165,Harmony Inn
270,Sao Joao De Pirabas,BR,75.97,scattered clouds,-0.7747,-47.1772,POUSADA SOL E MAR
271,Port Hardy,CA,62.78,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
273,Kurumkan,RU,65.03,scattered clouds,54.3,110.3,Ilikchin
274,Luanda,AO,68.59,clear sky,-8.8368,13.2343,EPIC SANA Luanda
275,Kuopio,FI,55.35,clear sky,62.8924,27.677,Hotel Jahtihovi
276,Novo Aripuana,BR,84.27,scattered clouds,-5.1206,-60.3797,Hotel Ezequiel
277,Point Pleasant,US,89.29,clear sky,40.0832,-74.0682,Point Pleasant Manor
279,Klyuchi,RU,57.42,clear sky,52.2667,79.1667,Vesolaya Mayovka
282,Sisimiut,GL,45.72,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
283,Umm Lajj,SA,86.65,clear sky,25.0213,37.2685,Moon light Furnished Units
285,Codrington,AU,46.6,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
286,Samarai,PG,79.74,few clouds,-10.6167,150.6667,Nuli Sapi
287,Medea,DZ,75.42,clear sky,36.2642,2.7539,Hôtel M'Sallah
288,Landshut,DE,71.19,broken clouds,48.5333,12.15,Hotel Goldene Sonne
289,Taltal,CL,61.45,few clouds,-25.4,-70.4833,Residencial Karime
290,Ereymentau,KZ,64.0,broken clouds,51.6199,73.1033,"Gostinitsa ""Dostyk"""
291,Great Falls,US,81.79,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
292,Rocha,UY,47.26,clear sky,-34.4833,-54.3333,Hotel Arrarte
293,Sayula,MX,71.15,overcast clouds,19.8667,-103.6167,Gran Casa Sayula Hotel Galeria And Spa
294,Guangyuan,CN,66.99,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
295,Shingu,JP,80.26,heavy intensity rain,33.7333,135.9833,Shingu UI Hotel
296,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
297,Ushtobe,KZ,69.62,scattered clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
298,Mareeba,AU,63.32,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
299,Katiola,CI,75.83,overcast clouds,8.1333,-5.1,Auberge Residence Yebin
300,Inhambane,MZ,68.14,clear sky,-23.865,35.3833,Oceano
301,Roald,NO,58.75,broken clouds,62.5833,6.1333,Flem Cabins
302,Ginda,IN,68.76,overcast clouds,30.6945,78.4932,Sunil Bisht
303,Vestmannaeyjar,IS,52.0,moderate rain,63.4427,-20.2734,Glamping & Camping
304,Smithers,CA,64.02,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
305,Mastung,PK,74.1,few clouds,29.7994,66.845,Al Hasnan Cold Drink Santer
306,Tura,IN,74.26,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
307,Bontang,ID,78.33,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
308,Nizhniy Kuranakh,RU,65.07,overcast clouds,58.8353,125.4869,Park Pobedy
309,Filadelfia,US,91.29,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
310,Necochea,AR,43.38,clear sky,-38.5473,-58.7368,dyd -mar Hotel
312,Upernavik,GL,43.92,overcast clouds,72.7868,-56.1549,Café de Upernavik
313,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
314,Pangody,RU,54.5,few clouds,65.85,74.4859,Elizaveta Shevchuk's House
315,Mezen,RU,56.86,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
317,Pasni,PK,83.03,scattered clouds,25.2631,63.471,Kashmiri Hotal
318,Namibe,AO,65.52,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
