City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Anadyr,RU,64.75,177.4833,52.3,50,20,29.08,few clouds
1,Nuuk,GL,64.1835,-51.7216,50.61,62,75,4.61,broken clouds
2,Chokurdakh,RU,70.6333,147.9167,43.07,67,80,13.11,broken clouds
3,Busselton,AU,-33.65,115.3333,50.29,86,0,8.68,clear sky
4,Mataura,NZ,-46.1927,168.8643,44.47,97,100,1.03,overcast clouds
5,Tamazunchale,MX,21.2667,-98.7833,88.77,47,100,4.68,overcast clouds
6,Otacilio Costa,BR,-27.4831,-50.1219,50.07,98,100,2.13,overcast clouds
7,Butaritari,KI,3.0707,172.7902,82.31,77,10,19.01,light rain
8,Eyl,SO,7.9803,49.8164,77.2,67,98,27.25,overcast clouds
9,Lobito,AO,-12.3481,13.5456,69.1,84,70,4.74,broken clouds
10,La Rioja,ES,42.25,-2.5,82.18,25,1,9.71,clear sky
11,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,94,20,4.61,few clouds
12,Sampit,ID,-2.5333,112.95,72.36,97,96,0.94,overcast clouds
13,Lake Havasu City,US,34.4839,-114.3224,112.06,18,0,10.36,clear sky
14,Guerrero Negro,MX,27.9769,-114.0611,82.74,47,3,12.73,clear sky
15,Kemijarvi,FI,66.7131,27.4306,50.07,89,100,4.16,overcast clouds
16,Ca Mau,VN,9.1769,105.15,77.61,91,96,3.96,overcast clouds
17,Jamestown,US,42.097,-79.2353,74.95,85,100,12.66,overcast clouds
18,Albany,US,42.6001,-73.9662,77.65,88,100,3.0,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,33.46,69,75,25.32,light rain
20,Winnemucca,US,40.973,-117.7357,84.25,39,20,6.91,few clouds
21,Thompson,CA,55.7435,-97.8558,84.42,27,38,2.64,scattered clouds
22,Banda Aceh,ID,5.5577,95.3222,78.78,79,24,10.07,few clouds
23,Punta Arenas,CL,-53.15,-70.9167,41.11,81,75,31.07,moderate rain
24,Broome,US,42.2506,-75.833,77.41,81,40,13.8,scattered clouds
25,Luba,GQ,3.4568,8.5547,77.0,78,91,4.99,overcast clouds
26,Alofi,NU,-19.0595,-169.9187,76.89,73,75,16.11,broken clouds
27,Xiongzhou,CN,25.1167,114.3,78.13,96,100,3.36,overcast clouds
28,Dikson,RU,73.5069,80.5464,43.18,82,99,12.64,overcast clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,76.96,91,96,5.99,overcast clouds
30,Moerai,PF,-22.4333,-151.3333,73.24,79,19,19.82,light rain
31,Bredasdorp,ZA,-34.5322,20.0403,54.28,85,100,2.04,overcast clouds
32,Port Alfred,ZA,-33.5906,26.891,64.9,57,86,8.81,overcast clouds
33,Porto Santo,PT,33.072,-16.3415,70.18,73,40,11.5,scattered clouds
34,Nizwa,OM,22.9333,57.5333,83.68,64,96,3.29,overcast clouds
35,Rikitea,PF,-23.1203,-134.9692,74.71,76,17,12.08,few clouds
36,Cradock,ZA,-32.1642,25.6192,53.74,47,9,7.47,clear sky
37,Nsanje,MW,-16.92,35.262,64.83,92,8,2.08,clear sky
38,Namatanai,PG,-3.6667,152.4333,81.88,73,96,8.3,overcast clouds
39,Yumen,CN,40.2833,97.2,67.87,35,34,3.47,scattered clouds
40,Olinda,BR,-8.0089,-34.8553,78.53,69,75,14.97,broken clouds
41,Siddipet,IN,18.1,78.85,71.92,91,91,8.68,overcast clouds
42,Waipawa,NZ,-41.4122,175.5153,54.63,68,100,9.37,overcast clouds
43,Santa Fe,AR,-31.6333,-60.7,60.01,62,1,3.0,light rain
44,Constitucion,CL,-35.3333,-72.4167,50.68,89,90,9.84,overcast clouds
45,Tomatlan,MX,19.9333,-105.25,87.13,64,100,5.19,overcast clouds
46,Sirjan,IR,29.452,55.6814,77.49,11,0,4.83,clear sky
47,Changji,CN,44.0167,87.3167,75.99,50,20,6.71,thunderstorm
48,Hobart,AU,-42.8794,147.3294,43.27,85,75,8.05,broken clouds
49,Maceio,BR,-9.6658,-35.7353,78.24,78,40,8.05,scattered clouds
50,Ribeira Grande,PT,38.5167,-28.7,73.02,90,23,6.31,few clouds
51,Khudumelapye,BW,-23.8833,24.75,52.25,57,0,7.27,clear sky
52,Salalah,OM,17.0151,54.0924,77.09,94,100,3.44,overcast clouds
53,Key West,US,24.5557,-81.7826,93.2,65,40,11.5,scattered clouds
54,Bambous Virieux,MU,-20.3428,57.7575,68.22,88,40,17.27,light intensity shower rain
55,Lebu,CL,-37.6167,-73.65,45.73,74,91,5.64,overcast clouds
56,Paamiut,GL,61.994,-49.6678,45.03,82,100,1.25,overcast clouds
57,Geraldton,AU,-28.7667,114.6,55.81,88,100,11.5,overcast clouds
58,San Jose,US,37.3394,-121.895,99.84,38,20,13.8,few clouds
59,Mira,IT,45.4358,12.1348,80.01,68,0,2.3,clear sky
60,Naze,JP,28.3667,129.4833,80.73,87,100,16.58,overcast clouds
61,Las Vegas,US,36.175,-115.1372,108.84,21,0,7.0,clear sky
62,Sao Filipe,CV,14.8961,-24.4956,75.97,81,20,10.42,few clouds
63,Port Hawkesbury,CA,45.6169,-61.3485,82.9,54,0,11.5,clear sky
64,Fort Nelson,CA,58.8053,-122.7002,72.99,53,75,6.91,broken clouds
65,Norman Wells,CA,65.282,-126.8329,75.24,41,75,4.61,broken clouds
66,Teya,RU,60.3778,92.6267,54.0,99,100,1.3,light rain
67,Nikolskoye,RU,59.7035,30.7861,56.8,92,49,4.52,scattered clouds
68,Atuona,PF,-9.8,-139.0333,77.88,66,55,17.27,broken clouds
69,Bluff,NZ,-46.6,168.3333,44.8,75,100,15.37,overcast clouds
70,Norsup,VU,-16.0667,167.3833,81.27,78,44,17.47,scattered clouds
71,Chuy,UY,-33.6971,-53.4616,48.24,82,2,2.37,clear sky
72,Leh,IN,34.1667,77.5833,65.53,38,57,3.36,broken clouds
73,Kapaa,US,22.0752,-159.319,84.52,74,40,19.57,scattered clouds
74,Taungdwingyi,MM,20.0167,95.55,77.92,86,100,7.54,overcast clouds
75,Ipora,BR,-16.4419,-51.1178,74.03,25,1,2.66,clear sky
76,Ancud,CL,-41.8697,-73.8203,42.22,73,14,7.87,few clouds
77,Bealanana,MG,-14.55,48.7333,52.61,86,48,7.07,scattered clouds
78,Qaanaaq,GL,77.484,-69.3632,45.82,56,0,4.56,clear sky
79,Akdepe,TM,42.0551,59.3788,84.29,26,0,9.8,clear sky
80,Yellowknife,CA,62.456,-114.3525,72.12,56,75,8.99,broken clouds
81,Ballina,AU,-28.8667,153.5667,53.02,99,35,9.26,scattered clouds
82,Vestby,NO,59.6024,10.7467,60.89,94,45,1.21,scattered clouds
83,Mabaruma,GY,8.2,-59.7833,78.15,86,71,4.79,broken clouds
84,Thinadhoo,MV,0.5333,72.9333,82.9,72,99,12.8,overcast clouds
85,Shubarshi,KZ,48.5872,57.1869,87.93,23,35,13.56,scattered clouds
86,Vaini,TO,-21.2,-175.2,77.16,83,75,10.36,broken clouds
87,Khuzdar,PK,27.7384,66.6434,76.3,75,20,0.34,few clouds
88,Mindelo,CV,16.8901,-24.9804,76.55,73,75,32.21,broken clouds
89,Pemangkat,ID,1.1667,108.9667,77.43,82,100,6.22,overcast clouds
90,Fare,PF,-16.7,-151.0167,75.65,70,10,4.5,light rain
91,Kodiak,US,57.79,-152.4072,58.51,67,0,10.36,clear sky
92,Sechura,PE,-5.5569,-80.8222,71.98,61,84,14.43,broken clouds
93,Saskylakh,RU,71.9167,114.0833,44.58,77,100,12.86,overcast clouds
94,Saint George,US,37.1041,-113.5841,103.78,20,0,4.61,clear sky
95,Castro,BR,-24.7911,-50.0119,57.31,99,100,3.2,overcast clouds
96,Marystown,CA,47.1666,-55.1483,64.85,100,89,5.01,overcast clouds
97,Nainpur,IN,22.4333,80.1167,73.78,96,99,8.97,overcast clouds
98,Sao Gabriel,BR,-30.3364,-54.32,50.95,84,0,3.27,clear sky
99,Hilo,US,19.7297,-155.09,89.28,73,100,10.36,overcast clouds
100,Hays,US,30.0502,-98.0336,104.31,30,21,5.01,few clouds
101,Tucurui,BR,-3.7661,-49.6725,80.6,59,79,3.33,broken clouds
102,Mar Del Plata,AR,-38.0023,-57.5575,48.87,80,0,7.0,clear sky
103,Tuktoyaktuk,CA,69.4541,-133.0374,55.71,81,100,5.64,light rain
104,Fairbanks,US,64.8378,-147.7164,61.14,70,75,13.8,light rain
105,Bethel,US,41.3712,-73.414,77.04,92,75,9.22,broken clouds
106,Zhuhai,CN,22.2769,113.5678,85.86,84,40,13.8,scattered clouds
107,Camacha,PT,33.0833,-16.3333,67.42,73,40,10.36,scattered clouds
108,Ranong,TH,9.9658,98.6348,78.94,89,97,6.2,overcast clouds
109,Lorengau,PG,-2.0226,147.2712,81.86,75,96,4.68,overcast clouds
110,Olafsvik,IS,64.8945,-23.7142,53.38,76,99,4.85,overcast clouds
111,Hithadhoo,MV,-0.6,73.0833,81.37,76,100,11.12,overcast clouds
112,Pachino,IT,36.7186,15.0907,80.78,58,0,4.34,clear sky
113,Coihaique,CL,-45.5752,-72.0662,40.95,70,75,3.44,broken clouds
114,Mount Pleasant,US,32.7941,-79.8626,86.14,80,40,10.36,scattered clouds
115,Songjianghe,CN,42.1859,127.479,61.74,97,12,3.89,few clouds
116,Deputatskiy,RU,69.3,139.9,41.94,87,100,4.05,light rain
117,Kirishi,RU,59.4471,32.0205,48.63,95,68,3.87,broken clouds
118,Ambilobe,MG,-13.2,49.05,65.19,69,78,6.85,broken clouds
119,Mayumba,GA,-3.432,10.6554,69.94,91,19,4.99,few clouds
120,Cape Town,ZA,-33.9258,18.4232,56.91,79,12,7.0,few clouds
121,Te Anau,NZ,-45.4167,167.7167,42.62,96,100,4.18,light rain
122,Tondano,ID,1.3038,124.9112,64.49,82,100,1.1,overcast clouds
123,Hamilton,US,39.1834,-84.5333,84.99,67,40,5.75,scattered clouds
124,Udachnyy,RU,66.4167,112.4,50.45,100,99,5.59,overcast clouds
125,Seymchan,RU,62.8833,152.4333,72.72,60,62,3.69,broken clouds
126,Hemsedal,NO,60.8629,8.5534,53.15,83,72,6.2,broken clouds
127,Barrow,US,71.2906,-156.7887,42.82,75,100,20.71,overcast clouds
128,Biak,ID,-0.9131,122.8766,73.65,87,100,6.69,overcast clouds
129,Severo-Kurilsk,RU,50.6789,156.125,55.72,89,94,4.47,overcast clouds
130,Yambio,SS,4.5721,28.3955,67.82,98,100,2.39,moderate rain
131,Bandarbeyla,SO,9.4942,50.8122,75.76,79,78,35.16,broken clouds
132,Beisfjord,NO,68.3751,17.5988,54.05,94,98,2.33,overcast clouds
133,Lompoc,US,34.6391,-120.4579,85.84,59,0,16.11,clear sky
134,Mokobeng,BW,-22.9965,27.6678,55.74,65,0,4.76,clear sky
135,Faanui,PF,-16.4833,-151.75,76.8,67,72,7.0,broken clouds
