City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-07-18 22:40:41,-23.1203,-134.9692,74.66,75,14,11.39
1,Nikolskoye,RU,2022-07-18 22:40:41,59.7035,30.7861,55.8,92,59,4.63
2,Qixia,CN,2022-07-18 22:40:42,37.2975,120.8256,76.5,59,22,0.38
3,Saskylakh,RU,2022-07-18 22:39:55,71.9167,114.0833,44.19,80,100,13.53
4,Rosita,NI,2022-07-18 22:40:42,13.9268,-84.4032,78.17,96,100,3.58
5,Busselton,AU,2022-07-18 22:40:43,-33.65,115.3333,50.23,86,0,8.25
6,Hobart,AU,2022-07-18 22:40:43,-42.8794,147.3294,43.27,85,75,6.91
7,Zhicheng,CN,2022-07-18 22:40:43,30.2956,111.5047,78.3,92,96,3.51
8,Vostok,RU,2022-07-18 22:40:43,46.4856,135.8833,67.6,77,85,2.17
9,Cabo San Lucas,MX,2022-07-18 22:40:44,22.8909,-109.9124,94.6,63,9,3.0
10,Fortuna,US,2022-07-18 22:40:44,40.5982,-124.1573,74.86,66,18,3.0
11,Albany,US,2022-07-18 22:38:58,42.6001,-73.9662,77.72,87,100,4.0
12,Georgetown,MY,2022-07-18 22:40:45,5.4112,100.3354,82.33,89,40,3.44
13,Tuktoyaktuk,CA,2022-07-18 22:35:52,69.4541,-133.0374,66.2,77,100,9.22
14,Port-Gentil,GA,2022-07-18 22:37:56,-0.7193,8.7815,75.16,83,40,8.05
15,Atuona,PF,2022-07-18 22:40:45,-9.8,-139.0333,77.65,67,62,16.11
16,Bluff,NZ,2022-07-18 22:38:14,-46.6,168.3333,45.81,74,100,15.3
17,Arman,RU,2022-07-18 22:40:45,59.7,150.1667,60.42,80,99,5.55
18,Hilo,US,2022-07-18 22:37:57,19.7297,-155.09,89.28,72,100,10.36
19,Mataura,NZ,2022-07-18 22:40:46,-46.1927,168.8643,45.48,95,100,1.61
20,Airai,TL,2022-07-18 22:40:46,-8.9266,125.4092,54.25,53,93,2.68
